date_start,date_end,active_users,new_users,avg_engagement_time_s,engagement_rate,events,key_events,homepage_views,homepage_bounce_rate,contact_views,contact_bounce_rate,all_issues_views,all_issues_bounce_rate,jobs_board_views,jobs_board_bounce_rate,platforms_directory_views,platforms_directory_bounce_rate,about_views,about_bounce_rate,glossary_views,glossary_bounce_rate,vibe_code_saturdays_views,vibe_code_saturdays_bounce_rate,pct_google_organic,pct_direct,pct_chatgpt_referral,day0_new,day0_returning,day1_new,day1_returning,top_country,top_country_users,top_country_key_events
2026-07-15,2026-07-16,33,28,17.33,,180,13,21,1.00,13,0.00,8,1.00,6,1.00,5,1.00,1,1.00,,,,,0.636,0.121,0.061,25,2,2,0,India,23,12
2026-07-10,2026-07-16,154,149,9.00,,819,36,99,0.643,36,0.000,41,0.759,19,0.529,32,0.741,5,0.800,,,,,0.766,0.123,0.032,,,,,India,110,33
2026-07-20,2026-07-26,94,90,19.00,,677,12,85,0.576,12,0.000,10,0.286,24,0.455,18,0.412,2,0.000,8,0.167,,,0.649,0.181,0.085,,,,,India,42,9
2026-08-02,2026-08-08,124,121,11.00,,776,35,84,0.722,35,0.030,5,0.200,20,0.684,32,0.643,6,0.500,0,,,,0.669,0.185,0.024,,,,,India,65,28
2026-08-03,2026-08-09,102,93,14.00,,642,23,72,0.754,24,0.087,6,0.500,19,0.722,27,0.667,7,0.571,,,,,0.627,0.186,0.049,,,,,India,50,17
2026-08-15,2026-08-21,101,92,13.00,,645,26,82,0.681,24,0.130,7,0.400,11,0.444,17,0.529,4,0.500,5,0.500,,,0.713,0.149,0.030,,,,,India,43,26
2026-08-17,2026-08-23,105,100,15.00,0.5000,692,38,70,0.643,36,0.057,8,0.500,12,0.200,20,0.588,5,0.000,6,0.250,,,0.790,0.105,0.038,,,,,India,58,37
2026-09-07,2026-09-13,259,248,15.00,0.2987,1961,13,269,0.759,13,0.077,8,,14,0.417,14,0.273,2,,2,,96,0.445,0.595,0.178,0.008,,,,,India,133,6
2026-09-14,2026-09-20,335,310,17.00,,2308,104,321,0.638,96,0.121,3,,42,0.308,9,0.125,,,1,,12,0.333,0.824,0.078,0.006,,,,,India,,
